Date,Daily Mean PM2.5 Concentration,temp,visibility,winddir,windspeed,precip,solarradiation,cloudcover,humidity
2014-06-29,1.7,21.2,24.0,192.9,13.7,0.001,353.8,7.9,56.7
2014-06-30,2.7,22.8,24.0,235.2,21.9,0.0,321.5,48.1,62.4
2014-07-01,5.4,22.5,24.0,226.3,27.0,0.0,316.0,68.8,75.1
2014-07-02,7.2,23.1,23.6,217.8,33.2,0.0,289.2,68.3,79.5
2014-07-03,10.0,24.2,24.0,200.2,29.3,0.0,295.0,66.5,78.2
2014-07-04,3.1,24.2,24.0,193.2,34.5,0.017,331.9,64.5,77.7
2014-07-05,2.2,18.7,20.1,162.6,75.2,1.734,230.8,92.8,84.6
2014-07-06,6.6,17.3,21.3,260.9,38.8,11.559,333.7,86.1,74.4
2014-07-07,11.9,20.4,23.8,226.4,28.8,0.009,282.8,93.6,72.1
2014-07-08,13.6,21.0,22.4,204.7,32.8,2.447,242.4,93.0,81.6
2014-07-09,7.0,22.3,20.4,195.3,41.5,0.0,334.6,67.0,79.9
2014-07-10,5.6,22.1,24.0,213.5,25.8,0.0,307.6,70.5,75.4
2014-07-11,6.3,19.6,24.0,293.2,16.7,0.0,165.3,79.3,66.8
2014-07-12,5.9,20.9,24.0,218.5,21.7,0.0,352.5,22.0,60.6
2014-07-13,4.9,21.6,24.0,206.3,27.5,0.0,260.4,80.8,64.0
2014-07-14,6.5,19.8,23.7,195.9,30.9,2.879,172.7,96.3,80.0
2014-07-15,5.4,21.1,20.5,197.6,22.2,0.839,174.3,95.7,92.4
2014-07-16,4.2,23.9,23.1,189.2,31.6,6.308,309.1,85.2,86.4
2014-07-17,4.9,21.5,22.1,195.7,34.4,6.205,158.7,94.6,91.6
2014-07-18,3.9,20.3,21.7,237.3,27.1,0.001,315.9,67.3,76.0
2014-07-19,6.2,19.6,24.0,316.2,16.3,0.0,329.2,50.7,75.5
2014-07-20,3.8,19.9,23.3,159.9,11.3,0.037,309.8,60.4,73.7
2014-07-21,7.1,21.2,24.0,172.7,16.3,0.172,249.6,86.3,61.5
2014-07-22,7.3,21.9,24.0,221.2,25.4,0.0,295.0,66.3,67.8
2014-07-23,6.9,23.2,24.0,223.0,32.4,0.0,320.1,70.4,71.9
2014-07-24,0.4,18.5,18.9,271.9,20.5,3.541,144.5,88.2,93.3
2014-07-25,4.4,18.9,24.0,336.2,11.0,0.001,245.1,77.0,78.4
2014-07-26,6.9,20.8,17.5,223.7,32.7,0.0,289.5,36.7,68.7
2014-07-27,8.2,21.3,20.3,180.3,34.7,0.0,313.0,87.8,68.9
2014-07-28,1.6,22.5,22.9,156.3,31.0,2.31,230.3,92.1,81.6
2014-07-29,2.7,23.0,22.0,176.9,40.3,0.172,256.3,86.7,76.9
2014-07-30,4.3,20.6,22.2,186.7,16.4,3.824,208.6,71.9,77.2
2014-07-31,12.8,21.3,24.4,193.4,23.8,1.107,195.9,84.2,80.1
2014-08-01,12.9,20.6,24.0,204.1,14.3,0.0,288.0,55.8,69.4
2014-08-02,8.0,21.0,22.6,219.1,18.3,0.0,149.6,80.6,79.6
2014-08-03,7.7,21.6,24.0,213.7,16.6,0.018,244.3,87.3,67.9
2014-08-04,6.6,21.5,24.0,189.6,15.5,0.035,227.2,88.5,76.5
2014-08-05,9.2,21.5,23.5,218.3,17.7,0.373,229.6,76.5,82.0
2014-08-06,7.4,20.6,22.3,218.9,20.0,15.735,197.9,80.7,84.0
2014-08-07,6.5,18.7,19.4,311.2,20.2,22.837,239.1,88.6,86.6
2014-08-08,6.5,17.8,24.0,229.9,30.7,0.009,233.0,63.2,82.3
2014-08-09,6.3,16.2,22.5,341.9,24.0,0.863,247.0,71.6,90.2
2014-08-10,6.8,16.5,18.0,353.4,29.1,4.033,246.3,92.8,88.9
2014-08-11,8.6,17.4,22.6,2.7,27.4,1.067,287.7,87.6,85.5
2014-08-12,0.0,17.1,24.0,8.9,14.5,0.001,301.2,42.6,82.9
2014-08-13,2.8,18.6,22.0,133.4,16.3,0.042,280.8,75.6,79.0
2014-08-14,3.6,19.7,24.0,119.8,33.2,0.001,160.5,76.9,79.9
2014-08-15,3.0,18.4,18.8,122.8,27.6,13.127,224.7,87.0,89.5
2014-08-16,7.8,18.2,24.0,191.3,25.6,0.516,212.1,83.5,80.1
2014-08-17,10.3,17.7,24.0,186.6,16.4,1.777,157.3,92.6,82.0
2014-08-18,2.7,16.9,19.8,297.0,20.5,15.428,190.1,97.4,94.1
2014-08-19,3.5,17.3,21.2,302.7,25.0,4.344,208.8,87.7,89.7
2014-08-20,4.0,17.2,24.0,318.4,20.4,0.0,244.0,68.9,82.8
2014-08-21,4.3,16.9,24.0,344.5,18.3,0.0,236.6,77.0,85.4
2014-08-22,3.1,17.1,24.0,18.3,27.2,0.0,205.4,89.6,84.9
2014-08-23,2.2,16.4,24.0,20.8,28.9,0.002,249.3,68.5,78.7
2014-08-24,2.6,16.6,26.6,239.7,14.6,0.036,283.2,58.3,79.2
2014-08-25,9.0,19.8,24.0,213.5,23.8,0.002,272.8,61.8,77.8
2014-08-26,8.4,21.2,24.0,218.0,25.6,0.0,253.0,57.7,76.2
2014-08-27,11.2,21.1,23.7,228.2,27.3,0.0,266.1,67.4,71.1
2014-08-28,5.6,18.2,14.0,7.3,31.5,4.871,117.4,91.0,93.8
2014-08-29,1.9,13.3,17.5,357.7,33.7,5.536,194.2,64.3,80.7
2014-08-30,2.8,15.2,24.0,220.6,31.1,0.0,268.3,63.6,67.3
2014-08-31,9.0,17.8,23.7,218.7,33.0,0.316,185.0,90.3,82.9
2015-06-01,-0.7,8.8,24.0,37.5,27.2,0.385,117.0,99.5,69.5
2015-06-02,0.0,7.2,24.0,84.4,22.2,0.0,100.5,99.0,67.2
2015-06-03,2.4,6.2,9.3,40.5,37.0,4.532,135.6,98.5,93.0
2015-06-04,2.4,10.5,24.0,356.3,17.2,0.055,328.5,88.5,69.0
2015-06-05,4.0,12.6,24.0,177.7,25.7,0.0,324.3,67.6,72.0
2015-06-06,6.2,9.6,20.7,206.9,24.0,6.482,70.7,94.5,90.6
2015-06-07,4.5,8.9,24.0,353.6,28.9,0.034,365.0,47.8,70.2
2015-06-08,9.7,12.0,24.0,173.8,31.1,0.0,250.5,75.9,65.5
2015-06-09,9.1,16.3,24.0,171.4,38.7,0.033,315.1,92.4,74.9
